ID,longDescription,preRequisite,description,Length,bisPath,csPath,govPath,healthPath,humPath,manuPath,stemPath,socSciPath,visPath,dept,credits,minGrade,level
AR100,STUDIO ART I,No prerequisite,"Studio Art I is a comprehensive, year-long course in which students explore and develop a variety of artistic techniques by learning foundational skills in drawing, painting, printmaking, and sculpture across a variety of media. Through projects and experiences, students learn and apply the elements and principles of art and design. Studio Art includes an integrated art history component. Students will receive regular studio art and art history assignments as homework.",YR,X,X,X,X,X,X,X,X,X,AR,10,9,1
AR200,HONORS STUDIO ART II,"Prerequisite: Studio Art I or two art semester electives where one is Drawing, or a portfolio review","Studio Art II is an honors-level, year-long course in which students increase their depth of study in art and design fundamentals. Students explore advanced art techniques including watercolor and acrylic painting, drawing, and sculpture. Studio Art II fosters the development of a mature attitude toward the process of creating, writing about, and critiquing art. Subject matter is approached through observational, creative and conceptual problem solving. Studio Art II includes an integrated art history component. Students will receive regular studio art and art history homework assignments commensurate with an honors-level course.",YR,X,X,X,X,X,X,X,X,X,AR,10,10,2
AR300,HONORS STUDIO ART III,Prerequisite: Honors Studio Art II and/or recommendation of instructor,"Studio Art III is an honors-level, year-long course in which students focus on furthering and applying their understanding of artistic techniques and communication skills to create and present a portfolio. Students engage in constructive peer critiques through both verbal and written activities. Studio Art III expands upon students’ creative visual thinking and problem solving skills. Projects involve experimentation with methods and media, which will include the use of advanced drawing, painting, printmaking, and sculpture techniques. Students will receive regular studio art and art history homework assignments commensurate with an honors-level course.",YR,X,X,X,X,X,X,X,X,X,AR,10,11,2
AR310,HONORS STUDIO ART TECHNIQUES AND APPLICATIONS,"Prerequisite: Honors Studio Art II or recommendation of instructor
Corequisite: Honors Studio Art III","This course provides serious art students contemplating a career in the arts with advanced formal, technical, and expressive instruction in painting, drawing, and printmaking. Students will develop higher-level thinking skills, art-related technology skills, and they will gain a background in contemporary art history. Students will learn about the artistic process and explore career opportunities in the arts. Projects will focus on experimentation with methods and media.",YR,X,X,X,X,X,X,X,X,X,AR,10,11,2
AR500,ADVANCED PLACEMENT STUDIO ART AND DESIGN,"Prerequisite: Honors Studio Art II
Corequisite: Honors Studio Art III","Advanced Placement Studio Art is a full-year course in which students will create a cohesive body of work in a subject area of their choice. Students choose to submit a Drawing, 2-D, or 3-D Portfolio. Students are responsible to complete one work biweekly along with written evidence and documentation. Students who successfully complete the course and meet advanced placement test criteria are eligible for college credit and are exceptionally well prepared for college level art courses.",YR,X,X,X,X,X,X,X,X,X,AR,10,12,3
AR111,DIGITAL PHOTOGRAPHY,No Prerequisite,"Digital Photography is a semester course that introduces students to the digital camera and the emerging technologies of digital photography. These technologies include high quality color printers, scanners, and computers through Adobe Creative Suite applications. Topics include design, composition, visual creativity and historical photography. Students will learn lens operation, photo exposure, light balance, lighting, and image editing utilizing Photoshop. Projects include: Portraits, Photographic restoration, Posters, Advertising and Fine Art and Mixed Media images. Maintaining and archiving images on a student generated website will also be explored.",SM,X,X,X,X,X,X,X,X,X,TE,5,9,1
AR112,ADVANCED DIGITAL PHOTOGRAPHY,Prerequisite: Digital Photography,"Advanced Digital Photography is a semester course designed for students who have successfully completed Digital Photography and are interested in furthering their knowledge. Building on Digital Photography, students will explore alternative processes like Print Toning, Cyanotype, Solarization, and Photo-montage. At the end of this course students will have a portfolio of high quality prints that exhibit a mature understanding of photography. Students continue to use digital cameras and the Adobe Creative Suite applications to create projects.",SM,X,,,X,X,X,X,X,X,AR,5,9,1
AR113,GRAPHICS & DESIGN,No prerequisite,"Graphics Design is a semester course that introduces students to the principles of 2-D design and visual communication. Students explore techniques used by commercial artists and graphic designers through the elements and principles of design. Coursework includes creating and critiquing graphics, logos, typography, posters, and packaging used for personal creativity, advertising, and commercial applications. Drawing, Painting and Printmaking techniques will be explored in addition to the utilization of digital applications in the Adobe Creative Suite for project creation.",SM,X,X,X,X,X,X,X,X,X,AR,5,9,1
AR114,ADVANCED GRAPHICS & DESIGN,Prerequisite: Graphics & Design,"Advanced Graphics & Design is a semester course that challenges students to apply principles of design and visual communication techniques to conceptually challenging projects. Advanced Drawing, Painting and Printmaking techniques will be explored in addition to the utilization of digital applications in the Adobe Creative Suite for project creation.",SM,,,,X,X,X,X,,X,AR,5,9,1
AR115,DRAWING,No prerequisite,"Drawing is a semester course that presents students with an introduction to various drawing techniques. The course will focus on observational drawing, composition, and design. Projects will help students understand the concepts of linear perspective, spherical and cylindrical forms, value, shading and space. Drawing is an important foundational course for other major and elective areas of art study.",SM,X,X,X,X,X,X,X,X,X,AR,5,9,1
AR116,ADVANCED DRAWING,Prerequisite: Drawing,"Advanced Drawing is a semester course in which students will use a variety of alternative strategies to further develop their drawing technique. In addition to pencil, charcoal, and digital drawing tools, students will also explore the use of pastel, watercolor, collage and mixed media. Students will engage in art history discussions relevant to drawing.",SM,,,,X,X,X,X,,X,AR,5,9,1
AR117,PAINTING,Prerequisite: Drawing and/or recommendation of instructor,"Painting is a semester course that presents students with an introduction to various painting techniques of watercolor, oil, and acrylic. An emphasis will be placed upon color theory, composition and how to make the most of your painting tools. Students will also be engaged in art history discussions relevant to historical and contemporary painting.",SM,X,X,X,X,X,X,X,X,X,AR,5,9,1
AR118,ADVANCED PAINTING,Prerequisite: Painting,"Advanced Painting is a semester course that provides students with the opportunity to utilize the basic skills they learned in Painting and to advance their techniques through further in-depth studies of painting. Students will develop a deeper understanding of oil paint as well as the use of color, shape, and form, enabling them to reach their personal artistic goals. This course will explore painting from life as well as conceptual/abstract painting",SM,,,,,X,X,X,,X,AR,5,9,1
AR121,CERAMICS: WHEEL-THROWING,Prerequisite: Ceramics: Hand-Building or recommendation of instructor,"Ceramics: Wheel-Throwing is a semester course that will introduce students to the skills, tools, and materials used in creating 3-D works of art using the potter’s wheel. Beginning with the fundamentals of centering clay to making more sophisticated forms on the wheel, students will practice skills as they work toward proficiency through repetition. Students are exposed to both historical and contemporary works of art.",SM,X,X,X,X,X,X,X,,X,AR,5,9,1
AR122,CERAMICS: ADVANCED WHEEL-THROWING,Prerequisite: Ceramics: Wheel-Throwing,"Ceramics: Advanced Wheel-Throwing is a semester course designed for students who wish to further their knowledge and skills using the potter’s wheel as their main tool for production. Wheel-Throwing Advanced engages students with more complex 3-D design problems and encourages in-depth personal solutions to artistic challenges. Advanced sculpture and wheel-throwing techniques will be emphasized. Students are exposed to both historical and contemporary works of art through slide discussions, museum trips and various media resources.",SM,,,,X,X,X,X,,X,AR,5,10,1
AR123,CERAMICS: HAND-BUILDING,No prerequisite,"Ceramics: Hand-Building is a semester course that will introduce students to the skills, tools, and materials used in creating 3-D works of art without the use of a pottery wheel. Hand-building techniques such as pinch, coil and slab will be utilized to make functional and sculptural works of art. Students are exposed to both historical and contemporary works of art.",SM,X,X,X,X,X,X,X,,X,AR,5,9,1
AR124,CERAMICS: ADVANCED HAND-BUILDING,Prerequisite: Ceramics: Hand-Building,"Ceramics: Advanced Hand-Building is a semester course designed to give students who have completed Ceramics: Hand-Building the opportunity to continue working with three-dimensional media without the aid of the potter’s wheel. Advanced Hand-Building engages students with more complex 3-D design problems and encourages in-depth personal solutions to artistic challenges. Advanced sculpture techniques will be emphasized. Students are exposed to both historical and contemporary works of art through slide discussions, museum trips and various media resources.",SM,,,,X,X,X,X,,X,AR,5,9,1
